"exp_id","date","rep_id","time","strain","dox","OD0","OD"
9,2025-03-20,2,5,"t1516",512,0.1,0.073
9,2025-03-20,2,5,"t1516",256,0.1,0.096
9,2025-03-20,2,5,"t1516",128,0.1,0.154
9,2025-03-20,2,5,"t1516",64,0.1,0.132
9,2025-03-20,2,5,"t1516",32,0.1,0.216
9,2025-03-20,2,5,"t1516",16,0.1,0.174
9,2025-03-20,2,5,"t1516",8,0.1,0.133
9,2025-03-20,2,5,"t1516",4,0.1,0.199
9,2025-03-20,2,5,"t1516",2,0.1,0.161
9,2025-03-20,2,5,"t1516",1,0.1,0.163
9,2025-03-20,2,5,"t1516",0,0.1,0.177
9,2025-03-20,1,6,"h1471",512,0.01,0.008
9,2025-03-20,1,6,"h1471",256,0.01,0.018
9,2025-03-20,1,6,"h1471",128,0.01,0.017
9,2025-03-20,1,6,"h1471",64,0.01,0.024
9,2025-03-20,1,6,"h1471",32,0.01,0.024
9,2025-03-20,1,6,"h1471",16,0.01,0.053
9,2025-03-20,1,6,"h1471",8,0.01,0.067
9,2025-03-20,1,6,"h1471",4,0.01,0.043
9,2025-03-20,1,6,"h1471",2,0.01,0.036
9,2025-03-20,1,6,"h1471",1,0.01,0.04
9,2025-03-20,1,6,"h1471",0,0.01,0.077
9,2025-03-20,2,6,"h1471",512,0.01,0.017
9,2025-03-20,2,6,"h1471",256,0.01,0.024
9,2025-03-20,2,6,"h1471",128,0.01,0.024
9,2025-03-20,2,6,"h1471",64,0.01,0.053
9,2025-03-20,2,6,"h1471",32,0.01,0.067
9,2025-03-20,2,6,"h1471",16,0.01,0.043
9,2025-03-20,2,6,"h1471",8,0.01,0.036
9,2025-03-20,2,6,"h1471",4,0.01,0.04
9,2025-03-20,2,6,"h1471",2,0.01,0.077
9,2025-03-20,2,6,"h1471",1,0.01,0.109
9,2025-03-20,2,6,"h1471",0,0.01,0.155
9,2025-03-20,1,6,"t1516",512,0.01,0.179
9,2025-03-20,1,6,"t1516",256,0.01,0.179
9,2025-03-20,1,6,"t1516",128,0.01,0.193
9,2025-03-20,1,6,"t1516",64,0.01,0.188
9,2025-03-20,1,6,"t1516",32,0.01,0.187
9,2025-03-20,1,6,"t1516",16,0.01,0.198
9,2025-03-20,1,6,"t1516",8,0.01,0.192
9,2025-03-20,1,6,"t1516",4,0.01,0.201
9,2025-03-20,1,6,"t1516",2,0.01,0.21
9,2025-03-20,1,6,"t1516",1,0.01,0.194
9,2025-03-20,1,6,"t1516",0,0.01,0.22
9,2025-03-20,2,6,"t1516",512,0.01,0.184
9,2025-03-20,2,6,"t1516",256,0.01,0.19
9,2025-03-20,2,6,"t1516",128,0.01,0.188
9,2025-03-20,2,6,"t1516",64,0.01,0.186
9,2025-03-20,2,6,"t1516",32,0.01,0.191
9,2025-03-20,2,6,"t1516",16,0.01,0.187
9,2025-03-20,2,6,"t1516",8,0.01,0.186
9,2025-03-20,2,6,"t1516",4,0.01,0.194
9,2025-03-20,2,6,"t1516",2,0.01,0.203
9,2025-03-20,2,6,"t1516",1,0.01,0.205
9,2025-03-20,2,6,"t1516",0,0.01,0.22
9,2025-03-20,1,6,"t1516",512,0.05,0.234
9,2025-03-20,1,6,"t1516",256,0.05,0.309
9,2025-03-20,1,6,"t1516",128,0.05,0.319
9,2025-03-20,1,6,"t1516",64,0.05,0.307
9,2025-03-20,1,6,"t1516",32,0.05,0.329
9,2025-03-20,1,6,"t1516",16,0.05,0.288
9,2025-03-20,1,6,"t1516",8,0.05,0.35
9,2025-03-20,1,6,"t1516",4,0.05,0.286
9,2025-03-20,1,6,"t1516",2,0.05,0.379
9,2025-03-20,1,6,"t1516",1,0.05,0.347
9,2025-03-20,1,6,"t1516",0,0.05,0.367
9,2025-03-20,2,6,"t1516",512,0.05,0.227
9,2025-03-20,2,6,"t1516",256,0.05,0.293
9,2025-03-20,2,6,"t1516",128,0.05,0.286
9,2025-03-20,2,6,"t1516",64,0.05,0.327
9,2025-03-20,2,6,"t1516",32,0.05,0.319
9,2025-03-20,2,6,"t1516",16,0.05,0.371
9,2025-03-20,2,6,"t1516",8,0.05,0.328
9,2025-03-20,2,6,"t1516",4,0.05,0.307
9,2025-03-20,2,6,"t1516",2,0.05,0.346
9,2025-03-20,2,6,"t1516",1,0.05,0.326
9,2025-03-20,2,6,"t1516",0,0.05,0.363
9,2025-03-20,1,6,"t1516",512,0.1,0.338
9,2025-03-20,1,6,"t1516",256,0.1,0.402
9,2025-03-20,1,6,"t1516",128,0.1,0.425
9,2025-03-20,1,6,"t1516",64,0.1,0.43
9,2025-03-20,1,6,"t1516",32,0.1,0.425
9,2025-03-20,1,6,"t1516",16,0.1,0.475
9,2025-03-20,1,6,"t1516",8,0.1,0.429
9,2025-03-20,1,6,"t1516",4,0.1,0.427
9,2025-03-20,1,6,"t1516",2,0.1,0.479
9,2025-03-20,1,6,"t1516",1,0.1,0.431
9,2025-03-20,1,6,"t1516",0,0.1,0.552
9,2025-03-20,2,6,"t1516",512,0.1,0.109
9,2025-03-20,2,6,"t1516",256,0.1,0.155
9,2025-03-20,2,6,"t1516",128,0.1,0.229
9,2025-03-20,2,6,"t1516",64,0.1,0.202
9,2025-03-20,2,6,"t1516",32,0.1,0.327
9,2025-03-20,2,6,"t1516",16,0.1,0.26
9,2025-03-20,2,6,"t1516",8,0.1,0.207
9,2025-03-20,2,6,"t1516",4,0.1,0.289
9,2025-03-20,2,6,"t1516",2,0.1,0.236
9,2025-03-20,2,6,"t1516",1,0.1,0.248
9,2025-03-20,2,6,"t1516",0,0.1,0.274
9,2025-03-20,1,7,"h1471",512,0.01,0.014
9,2025-03-20,1,7,"h1471",256,0.01,0.033
9,2025-03-20,1,7,"h1471",128,0.01,0.028
9,2025-03-20,1,7,"h1471",64,0.01,0.048
9,2025-03-20,1,7,"h1471",32,0.01,0.042
9,2025-03-20,1,7,"h1471",16,0.01,0.091
